Species,TaxID,Gene_symbol,Gene_biotype,Group
Human,9606,MT-ATP6,protein_coding,mitochondrial
Human,9606,MT-ATP8,protein_coding,mitochondrial
Human,9606,MT-CO1,protein_coding,mitochondrial
Human,9606,MT-CO2,protein_coding,mitochondrial
Human,9606,MT-CO3,protein_coding,mitochondrial
Human,9606,MT-CYB,protein_coding,mitochondrial
Human,9606,MT-ND1,protein_coding,mitochondrial
Human,9606,MT-ND2,protein_coding,mitochondrial
Human,9606,MT-ND3,protein_coding,mitochondrial
Human,9606,MT-ND4,protein_coding,mitochondrial
Human,9606,MT-ND4L,protein_coding,mitochondrial
Human,9606,MT-ND5,protein_coding,mitochondrial
Human,9606,MT-ND6,protein_coding,mitochondrial
Human,9606,MT-RNR1,Mt_rRNA,mitochondrial
Human,9606,MT-RNR2,Mt_rRNA,mitochondrial
Human,9606,MT-TA,Mt_tRNA,mitochondrial
Human,9606,MT-TC,Mt_tRNA,mitochondrial
Human,9606,MT-TD,Mt_tRNA,mitochondrial
Human,9606,MT-TE,Mt_tRNA,mitochondrial
Human,9606,MT-TF,Mt_tRNA,mitochondrial
Human,9606,MT-TG,Mt_tRNA,mitochondrial
Human,9606,MT-TH,Mt_tRNA,mitochondrial
Human,9606,MT-TI,Mt_tRNA,mitochondrial
Human,9606,MT-TK,Mt_tRNA,mitochondrial
Human,9606,MT-TL1,Mt_tRNA,mitochondrial
Human,9606,MT-TL2,Mt_tRNA,mitochondrial
Human,9606,MT-TM,Mt_tRNA,mitochondrial
Human,9606,MT-TN,Mt_tRNA,mitochondrial
Human,9606,MT-TP,Mt_tRNA,mitochondrial
Human,9606,MT-TQ,Mt_tRNA,mitochondrial
Human,9606,MT-TR,Mt_tRNA,mitochondrial
Human,9606,MT-TS1,Mt_tRNA,mitochondrial
Human,9606,MT-TS2,Mt_tRNA,mitochondrial
Human,9606,MT-TT,Mt_tRNA,mitochondrial
Human,9606,MT-TV,Mt_tRNA,mitochondrial
Human,9606,MT-TW,Mt_tRNA,mitochondrial
Human,9606,MT-TY,Mt_tRNA,mitochondrial
Human,9606,RPL10,protein_coding,ribosomal
Human,9606,RPL10A,protein_coding,ribosomal
Human,9606,RPL10AP1,processed_pseudogene,ribosomal
Human,9606,RPL10AP12,processed_pseudogene,ribosomal
Human,9606,RPL10AP2,processed_pseudogene,ribosomal
Human,9606,RPL10AP3,processed_pseudogene,ribosomal
Human,9606,RPL10AP5,processed_pseudogene,ribosomal
Human,9606,RPL10AP6,processed_pseudogene,ribosomal
Human,9606,RPL10L,protein_coding,ribosomal
Human,9606,RPL10P1,processed_pseudogene,ribosomal
Human,9606,RPL10P10,processed_pseudogene,ribosomal
Human,9606,RPL10P11,processed_pseudogene,ribosomal
Human,9606,RPL10P12,processed_pseudogene,ribosomal
Human,9606,RPL10P13,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL10P14,processed_pseudogene,ribosomal
Human,9606,RPL10P15,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL10P16,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL10P17,processed_pseudogene,ribosomal
Human,9606,RPL10P18,processed_pseudogene,ribosomal
Human,9606,RPL10P19,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL10P2,processed_pseudogene,ribosomal
Human,9606,RPL10P3,processed_pseudogene,ribosomal
Human,9606,RPL10P4,processed_pseudogene,ribosomal
Human,9606,RPL10P5,processed_pseudogene,ribosomal
Human,9606,RPL10P6,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL10P7,processed_pseudogene,ribosomal
Human,9606,RPL10P8,processed_pseudogene,ribosomal
Human,9606,RPL10P9,processed_pseudogene,ribosomal
Human,9606,RPL11,protein_coding,ribosomal
Human,9606,RPL11P1,processed_pseudogene,ribosomal
Human,9606,RPL11P3,processed_pseudogene,ribosomal
Human,9606,RPL11P4,processed_pseudogene,ribosomal
Human,9606,RPL11P5,processed_pseudogene,ribosomal
Human,9606,RPL12,protein_coding,ribosomal
Human,9606,RPL12P1,processed_pseudogene,ribosomal
Human,9606,RPL12P10,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL12P11,processed_pseudogene,ribosomal
Human,9606,RPL12P12,processed_pseudogene,ribosomal
Human,9606,RPL12P13,unprocessed_pseudogene,ribosomal
Human,9606,RPL12P14,processed_pseudogene,ribosomal
Human,9606,RPL12P15,processed_pseudogene,ribosomal
Human,9606,RPL12P16,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL12P17,processed_pseudogene,ribosomal
Human,9606,RPL12P18,processed_pseudogene,ribosomal
Human,9606,RPL12P19,processed_pseudogene,ribosomal
Human,9606,RPL12P2,processed_pseudogene,ribosomal
Human,9606,RPL12P20,processed_pseudogene,ribosomal
Human,9606,RPL12P21,processed_pseudogene,ribosomal
Human,9606,RPL12P22,processed_pseudogene,ribosomal
Human,9606,RPL12P23,processed_pseudogene,ribosomal
Human,9606,RPL12P24,processed_pseudogene,ribosomal
Human,9606,RPL12P25,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL12P26,processed_pseudogene,ribosomal
Human,9606,RPL12P27,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL12P28,processed_pseudogene,ribosomal
Human,9606,RPL12P29,processed_pseudogene,ribosomal
Human,9606,RPL12P3,processed_pseudogene,ribosomal
Human,9606,RPL12P30,processed_pseudogene,ribosomal
Human,9606,RPL12P31,processed_pseudogene,ribosomal
Human,9606,RPL12P32,processed_pseudogene,ribosomal
Human,9606,RPL12P33,processed_pseudogene,ribosomal
Human,9606,RPL12P34,processed_pseudogene,ribosomal
Human,9606,RPL12P35,processed_pseudogene,ribosomal
Human,9606,RPL12P36,processed_pseudogene,ribosomal
Human,9606,RPL12P37,processed_pseudogene,ribosomal
Human,9606,RPL12P38,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL12P39,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL12P4,processed_pseudogene,ribosomal
Human,9606,RPL12P40,processed_pseudogene,ribosomal
Human,9606,RPL12P41,processed_pseudogene,ribosomal
Human,9606,RPL12P42,processed_pseudogene,ribosomal
Human,9606,RPL12P43,processed_pseudogene,ribosomal
Human,9606,RPL12P44,processed_pseudogene,ribosomal
Human,9606,RPL12P45,processed_pseudogene,ribosomal
Human,9606,RPL12P46,processed_pseudogene,ribosomal
Human,9606,RPL12P47,processed_pseudogene,ribosomal
Human,9606,RPL12P48,processed_pseudogene,ribosomal
Human,9606,RPL12P49,processed_pseudogene,ribosomal
Human,9606,RPL12P5,processed_pseudogene,ribosomal
Human,9606,RPL12P50,processed_pseudogene,ribosomal
Human,9606,RPL12P6,processed_pseudogene,ribosomal
Human,9606,RPL12P7,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL12P8,processed_pseudogene,ribosomal
Human,9606,RPL12P9,processed_pseudogene,ribosomal
Human,9606,RPL13,protein_coding,ribosomal
Human,9606,RPL13A,protein_coding,ribosomal
Human,9606,RPL13AP,processed_pseudogene,ribosomal
Human,9606,RPL13AP10,processed_pseudogene,ribosomal
Human,9606,RPL13AP11,processed_pseudogene,ribosomal
Human,9606,RPL13AP12,processed_pseudogene,ribosomal
Human,9606,RPL13AP13,processed_pseudogene,ribosomal
Human,9606,RPL13AP14,processed_pseudogene,ribosomal
Human,9606,RPL13AP15,processed_pseudogene,ribosomal
Human,9606,RPL13AP16,processed_pseudogene,ribosomal
Human,9606,RPL13AP17,lncRNA,ribosomal
Human,9606,RPL13AP18,processed_pseudogene,ribosomal
Human,9606,RPL13AP19,processed_pseudogene,ribosomal
Human,9606,RPL13AP2,processed_pseudogene,ribosomal
Human,9606,RPL13AP20,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL13AP21,processed_pseudogene,ribosomal
Human,9606,RPL13AP22,processed_pseudogene,ribosomal
Human,9606,RPL13AP23,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL13AP24,processed_pseudogene,ribosomal
Human,9606,RPL13AP25,processed_pseudogene,ribosomal
Human,9606,RPL13AP26,unprocessed_pseudogene,ribosomal
Human,9606,RPL13AP27,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL13AP3,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL13AP5,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL13AP6,processed_pseudogene,ribosomal
Human,9606,RPL13AP7,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL13AP8,processed_pseudogene,ribosomal
Human,9606,RPL13AP9,processed_pseudogene,ribosomal
Human,9606,RPL13P,processed_pseudogene,ribosomal
Human,9606,RPL13P12,processed_pseudogene,ribosomal
Human,9606,RPL13P14,processed_pseudogene,ribosomal
Human,9606,RPL13P2,processed_pseudogene,ribosomal
Human,9606,RPL13P4,processed_pseudogene,ribosomal
Human,9606,RPL13P5,transcribed_processed_pseudogene,ribosomal
Human,9606,RPL13P6,processed_pseudogene,ribosomal
Human,9606,RPL13P8,processed_pseudogene,ribosomal
Human,9606,RPL14,protein_coding,ribosomal
Human,9606,RPL14P1,processed_pseudogene,ribosomal
Human,9606,RPL14P2,processed_pseudogene,ribosomal
Human,9606,RPL14P3,processed_pseudogene,ribosomal
Human,9606,RPL14P5,processed_pseudogene,ribosomal
Human,9606,RPL14P6,processed_pseudogene,ribosomal
Human,9606,RPL15,protein_coding,ribosomal
Human,9606,RPL15P1,processed_pseudogene,ribosomal
Human,9606,RPL15P11,processed_pseudogene,ribosomal
Human,9606,RPL15P12,processed_pseudogene,ribosomal
Human,9606,RPL15P13,processed_pseudogene,ribosomal
Human,9606,RPL15P14,processed_pseudogene,ribosomal
